ordinal,arc_id,end_sequence,source_lines,result,paid_reward_before,paid_reward_after,ending_hook_before,ending_hook_after,closed_loops_after,opened_loops_after,pacing_result,evidence_note,batch_status
"087","DCA-N48","583","L101898~L102092","EDIT","헤지펀드가 수백억 달러를 잃고 사과하며 베릴은 300만 구독자의 월가 영웅이 된다.","게임스핀 500달러 도달, 한국 개인투자자 약 1억 달러 참여, 확인된 헤지펀드 손실 100억 달러 초과·한 곳의 공개사과와 베릴 300만 구독자가 지급된다. 700억 달러 손실과 두 곳 파산은 추정이다.","게임스핀 최종전으로 얻은 베릴의 세계적 금융브랜드를 다음에는 어디에 쓸 것인가?","게임스핀 승리로 얻은 베릴의 300만 구독자·금융브랜드를 다음 작전에 어디에 쓸지 남는다.","게임스핀 500달러; 헤지펀드 확인손실 100억 달러 초과·공개사과; 베릴 300만 구독자","최대 700억 달러 손실검증; 헤지펀드 추가파산; 베릴의 다음 역할","EDIT_NOTE;KEEP_T8_R9_H6_RIBBON","L101898~L102092: 주가 500달러, 한국 개인 약 1억 달러, 확인손실 100억 달러 초과·한 곳 사과와 구독자 300만은 실제다. 700억 달러·두 곳 파산은 추정이다.","ENDPOINT_AUDIT_88_OF_131"
"088","DCA-N49","585","L102273~L102428","EDIT","중국 팹 4년 유예와 인텔 NAND 75억 달러 매입합의가 성립된다.","중국 팹 제재 4년 유예와 인텔 NAND 75억 달러 매입의 구두합의가 지급된다. 정식 계약·대금·소유권은 미지급이다.","75억 달러 매입합의를 실제 소유권 이전·통합으로 닫고 NAND를 어떤 성장자산으로 재배치할 것인가?","75억 달러 구두합의를 정식 계약·소유권 이전으로 닫고 NAND를 성장자산으로 재배치할 수 있는가?","중국 팹 4년 유예; 인텔 NAND 75억 달러 가격 구두합의","인텔 NAND 정식 계약·대금지급·소유권 이전·통합","KEEP_T7_R8_H7_RIBBON_NOTE","L102273~L102428: 바이든의 4년 유예와 인텔 CEO의 75억 달러 가격수락·악수는 구두합의다. 정식 계약·대금·소유권 이전은 없어 state_change의 계약확보를 교정한다.","ENDPOINT_AUDIT_88_OF_131"
"089","DCA-N49B","590","L103093~L103264","EDIT","중국 보조금으로 산 반도체 장비의 암호화폐 매매·태우 이전이 성립된다.","수출 가능한 반도체 장비 20여 대를 확인하고 7대 매각·2천만 달러 초과 입금, 당일 4대 선적과 판즈 담당자의 추가 모집 합류를 얻는다. 해외 팹 설치·생산은 미지급이다.","암호화폐 매매경로로 중국 보조금 장비를 실제 반출·설치해 해외 팹의 생산설비로 바꿀 수 있는가?","중국에서 더 빼낼 장비와 기술자를 들키지 않고 해외 팹에 설치·가동할 수 있는가?","수출가능 장비 20여 대 확인; 7대 매각·2천만 달러 초과 입금; 당일 4대 선적; 판즈 담당자 합류","추가 장비·기술자 반출; 해외 팹 설치·가동; 중국 측 탐지 회피","AFTER_T8_R8_H7;NOTE_EDIT;RIBBON_KEEP","L103093~L103264: 수출가능 장비 20여 대, 이미 판 7대와 2천만 달러 초과 입금, 당일 선적 4대가 확인된다. 판즈 담당자는 합류하지만 해외 팹 설치·생산은 아직 없다.","ENDPOINT_AUDIT_131_OF_131"
"090","DCA-N50","595","L103928~L104106","EDIT","태우상사 흑자와 치료제 승인을 확인하고 양자·AI 50조 원 이상 투자계획을 확정한다.","로켓 이용자 1천5백만 명과 25퍼센트 증가, 센트리언 치료제 임상완료, AI센터 누적 50조 원 이상 투자규모를 확인한다. 태우상사 흑자·치료제 승인·하반기 100억 달러 수익은 아직 전망이다.","앞으로 1~2년 동안 50조 원 이상을 양자·AI에 실제 집행해 회귀지식 밖 기술의 성과를 만들 수 있는가?","앞으로 1~2년 동안 쏟아질 현금을 양자·AI에 계속 투입해 회귀지식 밖 성과를 만들 수 있는가?","로켓 이용자 1천5백만·25퍼센트 증가; 치료제 임상완료; AI센터 누적 50조 원 이상 투자 확인","태우상사 흑자·해운수익 실현; 치료제 승인; 양자·AI 추가투자와 성과","AFTER_T5_R7_H7;NOTE_EDIT;RIBBON_EDIT","L103928~L104106: 로켓 1천5백만 명·25퍼센트 증가, 치료제 임상완료와 AI센터 누적 50조 원 이상은 현재다. 해운 하반기 100억 달러·흑자·치료제 승인은 전망이다.","ENDPOINT_AUDIT_131_OF_131"
"091","DCA-N50B","598","L104423~L104592","EDIT","미 제약협회 가입과 해외공장·필수약 생산권의 잠정 조건을 정한다. 정회원·생산권 최종계약은 미국 대선 때까지 미지급이다.","미 제약협회 정회원 협상의 예비계약, SMA 무료사업 잔여 9억 달러 중 30퍼센트인 2억7천만 달러 부담, 백신공장·아시아 생산권의 협상틀을 얻는다. 세부조건·최종서명은 미지급이다.","미국 대선 국면에서 잠정조건을 최종 계약으로 닫고 승자와 패자를 모두 관리할 수 있는가?","예비계약의 세부조건과 서명을 닫으면서 미국 대선의 승자·패자 양쪽 보호선도 유지할 수 있는가?","정회원 조건 협상; SMA 무료사업 2억7천만 달러 분담; 백신공장·아시아 생산권 예비계약","예비계약 세부조건·최종서명; 미국 대선 양면 보호선","AFTER_T7_R7_H7;NOTE_EDIT;RIBBON_EDIT","L104423~L104592: 잔여 9억 달러의 30퍼센트인 2억7천만 달러 협회부담과 백신공장·아시아 생산권을 묶고 이틀 뒤 예비계약까지 마친다. 세부조건·최종서명은 남는다.","ENDPOINT_AUDIT_131_OF_131"
"092","DCA-N51","600","L104769~L104942","EDIT","바이든에게 태우사업 보호·가이아나 100억 달러 대출과 한국산 무기 제안이 공식 전달된다.","바이든 당선인의 기존 태우 사업 지속·확대, 환경조건부 알래스카·가이아나 유지와 가이아나 한국산 무기 비저지 약속을 얻고 100억 달러 장기대출 협상 담당을 정한다. 대출·무기계약은 미지급이다.","바이든에게 제시한 가이아나 방산·100억 달러 금융·태우사업 보호안을 실제 합의로 바꾸고 러우전쟁 정보망을 미리 세울 수 있는가?","가이아나 100억 달러 금융·방산 협상을 실제 계약으로 닫고 러우전쟁 전에 정보망을 세울 수 있는가?","바이든 당선인의 태우사업 지속·확대 원칙; 가이아나 한국산 무기 비저지 약속; 대출협상 담당 확정","가이아나 100억 달러 대출·유전지분 조건; 한국산 무기계약; 러우전쟁 정보망","AFTER_T8_R6_H8;NOTE_EDIT;RIBBON_EDIT","L104769~L104942: 바이든 당선인은 사업 지속·확대와 한국산 무기 비저지를 약속한다. 데이비드는 100억 달러 장기대출 협상을 맡을 뿐 대출·무기계약은 없다.","ENDPOINT_AUDIT_131_OF_131"
"093","DCA-N51B","603","L105273~L105447","EDIT","메타버스 지분 40퍼센트 매각구조와 태우 통제권 유지조건을 정한다. 매매계약·대금 유입은 아직 전이다.","유고빈의 치매 예방·인지기능 개선 효과, 태우IT 주가 세 배 이상과 메타버스 하루 5백만 명 증가, 천민정의 VR 개발 참여를 확인한다. 보험적용과 지분 40퍼센트 매매계약·대금은 미지급이다.","글로벌 IT기업과 지분 40퍼센트 매매·교환계약을 실제 체결하면서 태우 통제권을 지킬 수 있는가?","유고빈 보험적용과 메타버스 지분 40퍼센트 거래를 실제 계약으로 닫으면서 천민정의 VR 개발을 제품으로 만들 수 있는가?","유고빈 치매예방·인지개선 확인; 태우IT 주가·메타버스 이용자 성장; 천민정 VR 참여","유고빈 보험적용; 메타버스 지분 40퍼센트 매매·대금; VR 제품개발","AFTER_T5_R7_H7;NOTE_EDIT;RIBBON_EDIT","L105273~L105447: 유고빈 인지효과, 태우IT 주가 세 배 이상·메타버스 하루 5백만 명 증가와 천민정 VR 참여가 현재 지급이다. 보험·지분거래는 아직 없다.","ENDPOINT_AUDIT_131_OF_131"
"094","DCA-N51C","605","L105610~L105770","EDIT","AI가 해킹을 차단하고 북한 권력변수 검토와 몽골 석탄 증산·비축 지시를 내린다. 실제 비축량·해외 장기계약은 아직 전이다.","센트리언 해킹 차단, 6천 대 좀비PC와 북한 암호·반체제 인사명단·비트코인 경로 확인을 얻고 몽골 석탄 증산·비축 지시를 확정한다. 실제 증산·비축물량은 미지급이다.","몽골 석탄 증산·비축을 실제 물량으로 만들고 QUAD 압박 속 중국 전력난에 어떻게 활용할 것인가?","QUAD 참여압박을 감당하면서 몽골 증산·비축을 실제 물량으로 바꿔 중국 전력난에 대응할 수 있는가?","센트리언 해킹 차단; 6천 대 좀비PC·북한 암호·명단·비트코인 경로 확인; 몽골 증산·비축 지시","몽골 석탄 실제 증산·비축; 중국 전력난; QUAD 참여압박; 북한 권력변수","AFTER_T8_R8_H8;NOTE_EDIT;RIBBON_EDIT","L105610~L105770: AI가 해킹을 막고 6천 대 좀비PC·북한 암호·반체제 명단·비트코인 경로를 잡는다. 몽골 석탄은 지시뿐이며 마지막은 QUAD 부담이다.","ENDPOINT_AUDIT_131_OF_131"
"095","DCA-N51D","608","L106111~L106261","EDIT","IIT·한국대학 교육, 유전지분·방산·금융 조건의 국가합의가 성립된다.","가이아나 100억 달러 국채계약과 유전·인프라 지분조건, 호주 석탄 장기계약과 올해 1억 달러·내년 10억 달러 이상 물량 및 부산·인천 공급선을 얻는다. 세부 무기계약·몽골 비축은 남는다.","새해 베트남에서 더 큰 에너지 모험을 김태중과 상의해야 할 위험이 남는다.","가이아나의 세부 군수조건과 몽골 비축을 닫은 뒤 김태중의 베트남 계획까지 안전하게 실행할 수 있는가?","가이아나 100억 달러 국채계약·유전/인프라 조건; 호주 석탄 장기계약·부산/인천 공급선","가이아나 세부 무기계약; 몽골 석탄 비축; 김태중 베트남 계획","AFTER_T6_R9_H7;NOTE_EDIT;RIBBON_EDIT","L106111~L106261: 가이아나 100억 달러 국채·유전/인프라 계약과 호주 석탄 올해 1억·내년 10억 달러 이상 장기계약이 서명된다. 세부 무기·몽골 비축은 후속이다.","ENDPOINT_AUDIT_131_OF_131"
"096","DCA-N51E","610","L106420~L106590","KEEP","가이아나 30억 달러 군수계약과 스테이블코인 공개공격 계획, 사이공은행 40조 원 불법대출·10조 원 비자금 보고서, 베트남 정부의 주동자 수습 결정과 김태중의 총리 통로를 얻는다. 현금창고 압수·계좌동결·구속·정유회사 인수는 아직 전이다.","가이아나 30억 달러 군수계약과 스테이블코인 공개공격 계획, 사이공은행 40조 원 불법대출·10조 원 비자금 보고서, 베트남 정부의 주동자 수습 결정과 김태중의 총리 통로를 얻는다. 현금창고 압수·계좌동결·구속·정유회사 인수는 아직 전이다.","베트남 정부가 이번 주 안에 주동자 처리를 실제 집행하고, 김태중이 얻은 현지 고위층 통로를 어떤 다음 역할로 바꿀 것인가?","베트남 정부가 이번 주 안에 주동자 처리를 실제 집행하고, 김태중이 얻은 현지 고위층 통로를 어떤 다음 역할로 바꿀 것인가?","가이아나 군수계약 확인; 스테이블코인 공개공격 준비; 40조 원 불법대출·10조 원 비자금 보고서 공개; 베트남 정부 수습선; 김태중 총리 통로","베트남 정부의 주동자 실제 처분; 사이공은행 안정; 김태중 현지 통로의 다음 역할","AFTER_T8_R7_H8;NOTE_KEEP;RIBBON_KEEP","L106420~L106590: 30억 달러 군수계약·40조 원 불법대출·10조 원 비자금 보고와 정부 수습선은 현재다. 정유회사 확보·압수·구속은 다음 화라 기존 override가 정확하다.","ENDPOINT_AUDIT_131_OF_131"
"097","DCA-N52","614","L107162~L107325","EDIT","김태중이 17표로 축구협회장에 당선되고 메타버스 지분대가로 마이크로소프트 주식을 받는다.","김태중의 17표 축구협회장 당선과 마이크로소프트의 메타버스 장기계약·주식교환 협상 의사를 얻는다. 계약서·마이크로소프트 주식은 미지급이다.","델타 변이와 중국 백신실패, 바이든 방한에서 반도체 예외권을 얻는 새 판이 열린다.","델타 변이·중국 백신실패와 바이든 방한을 이용해 백신외교와 반도체 예외권을 얻을 수 있는가?","김태중 축구협회장 17표 당선; 마이크로소프트 장기계약·주식교환 협상의사","메타버스 정식계약·주식교환; 델타 백신외교; 미국 반도체공장·중국 팹 예외","AFTER_T7_R8_H7;NOTE_EDIT;RIBBON_EDIT","L107162~L107325: 김태중은 17표로 당선된다. 마이크로소프트는 장기계약·주식교환에 긍정적일 뿐 주식지급이나 서명은 없어 현재 paid_reward를 낮춘다.","ENDPOINT_AUDIT_131_OF_131"
"098","DCA-N53","618","L107842~L108009","KEEP","센트리언의 중국 동부시장 권리와 합작유지가 확정되고 100조 원 이상 공매도가 실행된다.","센트리언의 중국 동부시장 권리와 합작유지가 확정되고 100조 원 이상 공매도가 실행된다.","센트리언의 중국 동부시장 권리와 100조 원대 부동산 숏을 실제 이익으로 결산할 수 있는가?","센트리언의 중국 동부시장 권리와 100조 원대 부동산 숏을 실제 이익으로 결산할 수 있는가?","중국 백신 재협상과 공매도 진입.","중국 동부시장 실행; 부동산 공매도 결산·중국 대응","AFTER_T7_R8_H7;NOTE_KEEP;RIBBON_KEEP","L107842~L108009: 센트리언 동부시장 권리·합작유지와 100조 원 이상 숏 진입이 모두 현재 회차 안에 있다. 이익실현은 훅으로 남긴 기존 귀속이 맞다.","ENDPOINT_AUDIT_131_OF_131"
"099","DCA-N53B","620","L108187~L108349","KEEP","수에즈 통항우선권·확장공사 약속이 확정되고 로나 취약성 공개·공매도가 시작된다.","수에즈 통항우선권·확장공사 약속이 확정되고 로나 취약성 공개·공매도가 시작된다.","수에즈 보상을 확보한 뒤 막 시작한 로나 구조 공개·공매도가 언제 어떤 규모로 결산되고, 세계 폭우가 실물 공급망을 얼마나 끊을 것인가?","수에즈 보상을 확보한 뒤 막 시작한 로나 구조 공개·공매도가 언제 어떤 규모로 결산되고, 세계 폭우가 실물 공급망을 얼마나 끊을 것인가?","수에즈 재개통·우선통항·확장공사 약속","로나 공매도 결산; 세계 폭우·식량·에너지 대란","AFTER_T8_R9_H8;NOTE_KEEP;RIBBON_KEEP","L108187~L108349: 수에즈 재개통·우선통항·확장공사 약속이 실제 지급되고 로나 취약성 공개·공매도 시작이 마지막 새 질문이다. 결산을 당기지 않은 기존 행이 맞다.","ENDPOINT_AUDIT_131_OF_131"
"100","DCA-N54","625","L109021~L109183","EDIT","제주 무인주행 성공과 당원 3천 명 검증자료·수사방식을 확보한다. 배신자 신원·증거는 아직 전이다.","제주 실증 사고 0건·음주운전자 7명 적발, 관광객 30퍼센트·외국인 15퍼센트 증가와 당원 3천여 명 스캔·봉우리파 관련자 명단·수사지시를 얻는다. 배신 증거와 자금망은 미지급이다.","강 대위가 3천 명 자료에서 실제 배신자와 자금망을 특정해 증거로 넘길 수 있는가?","봉우리파 관련자 명단에서 실제 배신증거와 자금망을 찾아 당 내부를 정리할 수 있는가?","제주 15일 실증 사고 0·음주 7명; 관광객 30퍼센트·외국인 15퍼센트 증가; 3천여 명 스캔·봉우리파 명단","봉우리파 배신증거·자금망; 당 내부정리·수사","AFTER_T8_R8_H7;NOTE_EDIT;RIBBON_EDIT","L109021~L109183: 15일간 사고 0·음주 7명, 관광객 30퍼센트·외국인 15퍼센트 증가가 명시되고 3천여 명에서 봉우리파 이름을 추린다. 증거·자금망은 없다.","ENDPOINT_AUDIT_131_OF_131"
"101","DCA-N54B","630","L109845~L110005","EDIT","북한 불법자금 차단망이 가동되고 장남의 연변기반 상대우위가 커지며 조지가 일본전에 배치된다.","야권 인사들의 양심고백과 다수의 국민경제당 이동약속, 중국 부동산 공매도 대부분의 청산, 조지의 일본 금융전 수락을 얻는다. 북한 자금차단·탈취와 일본 공격수익은 미지급이다.","조지가 일본 금융전에 배치된 뒤 어떤 목표·자금·공격시점을 정해 첫 행동에 나설 것인가?","조지가 일본 금융전의 목표·자금·공격시점을 정해 첫 행동에 나설 수 있는가?","야권 양심고백·이동약속; 중국 부동산 숏 대부분 청산; 조지의 일본전 수락","북한 해킹·암호화폐 자금차단; 일본 금융공격 목표·시점·집행","AFTER_T8_R8_H7;NOTE_EDIT;RIBBON_EDIT","L109845~L110005: 야권의 고백·이동약속과 중국 부동산 숏 대부분 청산은 현재다. 북한 자금차단은 지시, 일본전은 조지의 수락까지만 있어 실행완료를 제거한다.","ENDPOINT_AUDIT_131_OF_131"
"102","DCA-N55","633","L110333~L110512","EDIT","말리 리튬광산이 복구되고 바그너와 제한적 연락·억지관계가 남는다.","2천 명 이상 PMC의 반군 철수, 광산의 다음 날 재가동·일주일 정상화 일정, 말리 정부의 리튬광산 추가 5퍼센트 양도약속과 김민재의 수락을 얻는다. 실제 지분이전은 미지급이다.","되찾은 말리 광산을 유지하면서 바그너와 거리를 두고 민간피해·제재 위험을 제한할 수 있는가?","광산을 실제 정상화하고 추가 5퍼센트 지분을 이전받으면서 PMC 유착·제재위험을 피할 수 있는가?","2천 명 이상 PMC 투입·반군 철수; 광산 재가동 일정; 추가 5퍼센트 양도약속","광산 정상가동; 추가 5퍼센트 법적 이전; PMC 유착·제재위험","AFTER_T7_R8_H6;NOTE_EDIT;RIBBON_KEEP","L110333~L110512: 2천 명 이상 PMC가 반군을 물리지만 광산은 다음 날 재가동·일주일 정상화 예정이다. 말리의 5퍼센트는 약속으로 실제 지분이전 전이다.","ENDPOINT_AUDIT_131_OF_131"
"103","DCA-N55B","636","L110861~L111037","EDIT","기업농 정책과 28GHz 유지방침이 철회되지 않고 가격·기술 실증을 계속한다.","국내 원전 2기 가동과 소형 원전의 다음 상반기 준공일정, KOSPI 4500을 확인하고 기업농·28GHz 유지방침을 확정한다. 농산물 가격·자율주행·스마트팜의 장기효과는 미지급이다.","손실을 감수해 지킨 기업농·28GHz가 농산물 가격과 자율주행·스마트팜의 실제 장기효과를 낼 것인가?","기업농·28GHz를 유지한 비용이 농산물 가격과 자율주행·스마트팜의 장기효과로 돌아올 것인가?","원전 2기 가동 확인; 소형 원전 준공일정; KOSPI 4500; 기업농·28GHz 유지결정","농산물 가격효과; 28GHz 자율주행·스마트팜 성과; 소형 원전 준공","AFTER_T8_R7_H6;NOTE_EDIT;RIBBON_EDIT","L110861~L111037: 원전 2기 가동·소형 원전 준공일정과 KOSPI 4500이 현재 표면이다. 기업농·28GHz는 유지결정이며 장기효과는 아직 없다.","ENDPOINT_AUDIT_131_OF_131"
"104","DCA-N56","641","L111698~L111871","KEEP","홀란드의 3년 유럽이적 조항을 포함한 리즈 계약과 베이징 외교선이 성립된다.","홀란드의 3년 유럽이적 조항을 포함한 리즈 계약과 베이징 외교선이 성립된다.","홀란드 영입과 베이징 외교선을 확보한 뒤, 다가오는 러우전쟁에서 미중 사이 독자공간을 어떻게 지킬 것인가?","홀란드 영입과 베이징 외교선을 확보한 뒤, 다가오는 러우전쟁에서 미중 사이 독자공간을 어떻게 지킬 것인가?","홀란드 영입계약.","러우전쟁 개전·에너지주도권; 베이징 외교의 결과","AFTER_T6_R8_H7;NOTE_KEEP;RIBBON_KEEP","L111698~L111871: 리즈·홀란드의 3년 유럽이적 조항 계약과 베이징 외교선이 현재 회차에서 성립하고 마지막 전쟁위험은 미지급으로 남아 기존 행이 맞다.","ENDPOINT_AUDIT_131_OF_131"
"105","DCA-N56B","643","L112068~L112240","KEEP","이 상무의 비트코인 계좌가 털리고 CNC·리규철·북한 해킹세력과 비자금이 장남의 자금·산업·인맥으로 귀속됐음을 확인한다. 이어 러시아의 우크라이나 침공과 유가 100달러 돌파가 실제 발생해 태우의 전시 포지션이 가동된다.","이 상무의 비트코인 계좌가 털리고 CNC·리규철·북한 해킹세력과 비자금이 장남의 자금·산업·인맥으로 귀속됐음을 확인한다. 이어 러시아의 우크라이나 침공과 유가 100달러 돌파가 실제 발생해 태우의 전시 포지션이 가동된다.","침공 첫날 밤 젤렌스키와 우크라이나가 버틸지, 태우가 직접 참전하지 않고 전황·정보·공급망에 어떻게 개입할지가 열린다.","침공 첫날 밤 젤렌스키와 우크라이나가 버틸지, 태우가 직접 참전하지 않고 전황·정보·공급망에 어떻게 개입할지가 열린다.","이 상무 비트코인 탈취; CNC·리규철·해킹세력·비자금의 장남 귀속; 이 상무 개인복수 핵심 결산; 러시아 침공 확인","침공 첫날 정보전; 유가·식량·니켈 전시 포지션; 한국의 간접 군수지원","AFTER_T10_R8_H9;NOTE_KEEP;RIBBON_KEEP","L112068~L112240: 화 초 이영한 보고로 비트코인·리규철 해킹망·CNC·비자금의 장남 귀속이 확인된다. 후반 러시아 침공·유가 100달러는 다음 Arc의 bridge라 기존 crossfade override가 정확하다.","ENDPOINT_AUDIT_131_OF_131"
"106","DCA-N57","645","L112415~L112578","EDIT","유럽 방산·원전·물류·식량 패키지와 미국 보충판매 구조가 완성된다.","대통령의 러우전쟁 대응·미국/유럽 연결역할 위임과 미국 보충판매·유럽 방산/원전/물류/식량 패키지 설계, 데이비드의 백악관 접촉지시를 얻는다. 실제 승인·수출·계약은 미지급이다.","설계한 미국 보충판매·유럽 방산·원전·물류·식량 패키지를 실제 승인과 장기계약으로 바꿀 수 있는가?","설계한 미국 보충판매와 유럽 방산·원전·물류·식량 패키지를 실제 승인·장기계약으로 바꿀 수 있는가?","대통령의 대응역할 위임; 미국 보충판매·유럽 산업패키지 설계; 백악관 접촉지시","미국 보충판매 승인; 유럽 방산·원전·물류·식량 계약","AFTER_T7_R6_H7;NOTE_EDIT;RIBBON_EDIT","L112415~L112578: 대통령이 대응역할을 맡기고 김민재가 패키지를 설계해 데이비드에게 백악관 접촉을 지시한다. 군수·원전·물류 수출이나 계약은 발생하지 않는다.","ENDPOINT_AUDIT_131_OF_131"
"107","DCA-N57B","648","L112918~L113086","EDIT","니켈 투기세력이 손실을 보고 광산·가격안정이 굳어지며 러시아 원유가 동남아 거쳐 수익화된다.","니켈 마진콜 무기한 유예와 가격하락, 금융타워 숏 포지션 유지, 현금지출 없는 200억 달러 보증과 동유럽 일정 확정을 얻는다. 최종 숏 수익·광산양도·러시아 에너지 계약은 미지급이다.","니켈·러시아 에너지 결산 뒤 핵심광물과 제재 우회망을 제재위험 없이 장기 주도권으로 유지할 수 있는가?","유예·보증으로 잡은 니켈 협상력을 광산양도와 확정수익으로 닫고 러시아 에너지 우회망을 제재 없이 운영할 수 있는가?","니켈 마진콜 무기한 유예; 가격하락·숏 유지; 현금지출 없는 200억 달러 보증; 동유럽 일정","니켈 숏 최종수익·광산양도; 동유럽 계약; 러시아 에너지 우회망·제재위험","AFTER_T7_R8_H6;NOTE_EDIT;RIBBON_EDIT","L112918~L113086: 마진콜은 무기한 유예되고 니켈값은 내린다. 200억 달러 보증에 실제 현금은 나가지 않으며 최종 수익·광산양도·러시아 에너지 계약은 없다.","ENDPOINT_AUDIT_131_OF_131"
"108","DCA-N58","654","L113858~L114028","KEEP","SVB 모든 지분·경영권 이전 완료, 뱅크런 없음, 예치금 소폭 상승·주가 상승, 금융타워가 새 주인이라는 1면 보도를 얻는다. 기업농 성과와 직거래·전자상거래 개혁안·조력기업 배치도 확정하되 전국 유통망 실행은 남는다.","SVB 모든 지분·경영권 이전 완료, 뱅크런 없음, 예치금 소폭 상승·주가 상승, 금융타워가 새 주인이라는 1면 보도를 얻는다. 기업농 성과와 직거래·전자상거래 개혁안·조력기업 배치도 확정하되 전국 유통망 실행은 남는다.","SVB 인수결산 뒤 직거래·전자상거래 유통개혁을 법·물류·조력기업의 실제 체계로 만들 수 있는가?","SVB 인수결산 뒤 직거래·전자상거래 유통개혁을 법·물류·조력기업의 실제 체계로 만들 수 있는가?","SVB 모든 지분·경영권 이전과 인수작업; 뱅크런 방지·예치금/주가 안정·1면 소유자 보도; 유통개혁 설계","다른 미국 중소은행 1달러 인수; 국내 유통망 실행·법제화·시장반발","AFTER_T5_R9_H6;NOTE_KEEP;RIBBON_KEEP","L113858~L114028: 모든 지분·경영권 이전, 인수완료·뱅크런 없음·예치금/주가 상승·1면 새 주인 보도가 모두 현재다. 뒤 유통개혁은 설계라 기존 이중축 override가 맞다.","ENDPOINT_AUDIT_131_OF_131"
"109","DCA-N58B","661","L115000~L115169","KEEP","로나 85달러→0.003달러 미만·99% 폭락, 시총 약 400억 달러의 절반가량인 약 200억 달러 실제 흡수, 베릴 공개복권과 김태중의 해외임무 수락이 지급된다. 헤지펀드까지 합친 최소 총 300억 달러는 아직 전망이다.","로나 85달러→0.003달러 미만·99% 폭락, 시총 약 400억 달러의 절반가량인 약 200억 달러 실제 흡수, 베릴 공개복권과 김태중의 해외임무 수락이 지급된다. 헤지펀드까지 합친 최소 총 300억 달러는 아직 전망이다.","김태중이 베트남을 시작으로 한국향 식량·팜유 수출예외를 실제로 받아 올 수 있는가?","김태중이 베트남을 시작으로 한국향 식량·팜유 수출예외를 실제로 받아 올 수 있는가?","로나 99% 폭락·약 200억 달러 실제 흡수; 베릴 공개복권; 김태중 순방 수락","파산 헤지펀드 추가 흡수·최소 총 300억 달러 전망; 태우 농장 농산물·팜유 수출조건; 러시아 에너지 통로","AFTER_T6_R9_H7;NOTE_KEEP;RIBBON_KEEP","L115000~L115169: 85달러→0.003달러 미만·99퍼센트와 시총 절반 약 200억 달러 흡수는 현재다. 최소 총 300억 달러는 헤지펀드까지 흡수할 전망으로 기존 override가 정확하다.","ENDPOINT_AUDIT_131_OF_131"
"110","DCA-N59","662","L115170~L115328","KEEP","태우 소유 농장 농산물의 수출제한 예외와 태우상사 대상 팜유 공급, 동남아산 팜유·인도산 밀의 공급재개 및 빠른 물가안정을 얻는다. 태우해운 물동량 30% 이상 증가, 정유시설 지분 10%, 일부 투자약속이 명시된 대가다.","태우 소유 농장 농산물의 수출제한 예외와 태우상사 대상 팜유 공급, 동남아산 팜유·인도산 밀의 공급재개 및 빠른 물가안정을 얻는다. 태우해운 물동량 30% 이상 증가, 정유시설 지분 10%, 일부 투자약속이 명시된 대가다.","확보한 태우 농장·태우상사 물량을 로켓 물류와 기업농에 결합해 국내 유통구조를 지속적으로 바꿀 수 있는가?","확보한 태우 농장·태우상사 물량을 로켓 물류와 기업농에 결합해 국내 유통구조를 지속적으로 바꿀 수 있는가?","태우 농장 농산물 수출예외; 태우상사 팜유 공급; 태우해운 30%·정유지분 10%·투자약속 대가; 팜유·밀 공급재개와 가격안정","로켓 농산물 물류·국내 유통개혁; 예외조건 유지; 인도 순방·러시아 에너지 협상","AFTER_T6_R8_H6;NOTE_KEEP;RIBBON_KEEP","L115170~L115328: 예외는 태우 농장·태우상사 팜유에 한정되고 태우해운 30퍼센트·정유지분 10퍼센트·투자약속이 대가다. 공급재개·가격안정까지 현재라 기존 override가 맞다.","ENDPOINT_AUDIT_131_OF_131"
"111","DCA-N59B","664","L115485~L115640","EDIT","태우엔터·MCA 협업과 테일러 스위프트 공연으로 대형시설의 흥행·수익성이 입증된다.","MCA의 테일러 스위프트 내한·태우 경기장 일정배정과 다른 가수 추가배정 약속, 해외 스포츠팀 초청지시를 얻는다. 실제 공연·관중·수익은 미지급이다.","10만 석 경기장과 해외 스포츠 흥행을 반복 가능한 수익·국가브랜드로 굳힐 수 있는가?","테일러 스위프트와 해외 스포츠팀 일정을 실제 10만 석 흥행·관광수익으로 바꿀 수 있는가?","테일러 스위프트 내한의사·경기장 일정 약속; MCA 추가가수 배정; 해외 스포츠팀 초청지시","실제 공연·관중·매출; 반복 가능한 문화·스포츠 흥행","AFTER_T4_R6_H6;NOTE_EDIT;RIBBON_EDIT","L115485~L115640: MCA는 테일러 내한·경기장 일정과 다른 가수 배정을 약속한다. 실제 공연·10만 관중·수익은 없어 현재 흥행입증을 제거한다.","ENDPOINT_AUDIT_131_OF_131"
