ordinal,arc_id,start_sequence,end_sequence,source_arc_ids,decision,arc_name,dominant_question,evidence_anchor,boundary_line_evidence,predecessor_payoff,next_first_action,bridge_climax_ownership,ledger_sha256,source_sha256
11,DCA-N08,98,101,DCA-N08,KEEP,태우통신 HTS·게임 플랫폼,"태우통신 HTS·게임 플랫폼의 약속을 린지 흥행과 플랫폼의 기하급수적 가입, 일일 수천만 원 수수료가 선행 투자 논리를 실제 매출로 입증한다까지 실제 장면으로 결산하는가?",L17954~L18661,L17954~L18661; predecessor=97화 L17785~L17953: 지하철 9호선·거가대교 운영권과 태우건설의 대형 시공물량·도급 1위 반전 기반을 얻는다; next=98화 L17954~L18127: 사장단에 태우건설 수주를 공개하고 다이먼이 CL·신세계·태우 통신 3사를 한 달 만에 합병한다,97화 L17785~L17953: 지하철 9호선·거가대교 운영권과 태우건설의 대형 시공물량·도급 1위 반전 기반을 얻는다,98화 L17954~L18127: 사장단에 태우건설 수주를 공개하고 다이먼이 CL·신세계·태우 통신 3사를 한 달 만에 합병한다,"101화의 지급 ‘린지 흥행과 플랫폼의 기하급수적 가입, 일일 수천만 원 수수료가 선행 투자 논리를 실제 매출로 입증한다’은 DCA-N08 소유다. 끝 훅 ‘이영한과 악수한 민재의 손에는 사람 체온이 아니라 냉혈동물을 만진 듯한 차가움만 남는다’은 bridge이고 102화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
12,DCA-N09,102,111,DCA-N09,KEEP,이선일 죽음과 이영한 명동 후계,"이선일 죽음과 이영한 명동 후계의 약속을 오성파 두목이 체포되고 이영한은 명동 70%를 접수하며, 태우 게임단은 숙소·장비·선수 계약과 케이블 공식대회 중계까지 준비를 마친다까지 실제 장면으로 결산하는가?",L18662~L20420,"L18662~L20420; predecessor=101화 L18492~L18661: 린지 흥행과 플랫폼의 기하급수적 가입, 일일 수천만 원 수수료가 선행 투자 논리를 실제 매출로 입증한다; next=102화 L18662~L18838: 박 팀장에게 증거 전에는 명동 싸움에 개입하지 않겠다고 선을 긋고, 장영주에게 현재그룹 후계 다툼 불개입을 약속한 뒤 강 대위에게 명동 세력과 일본계 자금 흐름을 조용히 추적시킨다","101화 L18492~L18661: 린지 흥행과 플랫폼의 기하급수적 가입, 일일 수천만 원 수수료가 선행 투자 논리를 실제 매출로 입증한다","102화 L18662~L18838: 박 팀장에게 증거 전에는 명동 싸움에 개입하지 않겠다고 선을 긋고, 장영주에게 현재그룹 후계 다툼 불개입을 약속한 뒤 강 대위에게 명동 세력과 일본계 자금 흐름을 조용히 추적시킨다","111화의 지급 ‘오성파 두목이 체포되고 이영한은 명동 70%를 접수하며, 태우 게임단은 숙소·장비·선수 계약과 케이블 공식대회 중계까지 준비를 마친다’은 DCA-N09 소유다. 끝 훅 ‘OTT는 아직 컴퓨터 화면과 불법 다운로드에 막혀 있고, 민재는 상반기 인터넷 TV가 그 병목을 깨기만 기다린다’은 bridge이고 112화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
13,DCA-N10,112,116,DCA-N10,KEEP,통신 카르텔과 강민 교육 역전,"통신 카르텔과 강민 교육 역전의 약속을 일본 대부업체를 상대로 한 300억 달러 계약이 전량 체결되고, 태우통신은 2위와 10% 넘는 격차를 유지하며 인터넷 강의 일부 유료화까지 확정한다까지 실제 장면으로 결산하는가?",L20421~L21297,"L20421~L21297; predecessor=111화 L20251~L20420: 오성파 두목이 체포되고 이영한은 명동 70%를 접수하며, 태우 게임단은 숙소·장비·선수 계약과 케이블 공식대회 중계까지 준비를 마친다; next=112화 L20421~L20584: 김태중의 IT 계열분리 제안을 주주와 폭락 방어 논리로 막고, 이준수 구속 뉴스를 확인한 뒤 왕자의 난 시점에 맞춰 현재 반도체를 빼앗고 배터리 투자를 키우겠다고 밝힌다","111화 L20251~L20420: 오성파 두목이 체포되고 이영한은 명동 70%를 접수하며, 태우 게임단은 숙소·장비·선수 계약과 케이블 공식대회 중계까지 준비를 마친다","112화 L20421~L20584: 김태중의 IT 계열분리 제안을 주주와 폭락 방어 논리로 막고, 이준수 구속 뉴스를 확인한 뒤 왕자의 난 시점에 맞춰 현재 반도체를 빼앗고 배터리 투자를 키우겠다고 밝힌다","116화의 지급 ‘일본 대부업체를 상대로 한 300억 달러 계약이 전량 체결되고, 태우통신은 2위와 10% 넘는 격차를 유지하며 인터넷 강의 일부 유료화까지 확정한다’은 DCA-N10 소유다. 끝 훅 ‘새해가 오면 현재그룹과 태우그룹의 재계 순위가 뒤바뀔 만큼 격차가 좁혀졌다는 전망으로 1999년 회의가 끝난다’은 bridge이고 117화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
14,DCA-N11,117,124,DCA-N11,KEEP,35대3 부회장·푸틴·장수영 축출,"35대3 부회장·푸틴·장수영 축출의 약속을 러시아 천연자원 개발과 현지 자동차·전자 공장 혜택이 김태중에게 전달되고, 월가를 섞어 위험을 분산하는 사업안도 승인을 얻는다까지 실제 장면으로 결산하는가?",L22395~L22416,"L22395~L22416; predecessor=116화 L21123~L21297: 일본 대부업체를 상대로 한 300억 달러 계약이 전량 체결되고, 태우통신은 2위와 10% 넘는 격차를 유지하며 인터넷 강의 일부 유료화까지 확정한다; next=117화 L21298~L21474: 김태중에게 AI·로봇·배터리 투자의 10년 로드맵을 설득하고 올해 안 진지한 만남을 약속한 뒤, 박만덕에게 상반기 펀드를 채권 위주로 운용하라며 책임을 자신이 진다고 지시한다","116화 L21123~L21297: 일본 대부업체를 상대로 한 300억 달러 계약이 전량 체결되고, 태우통신은 2위와 10% 넘는 격차를 유지하며 인터넷 강의 일부 유료화까지 확정한다","117화 L21298~L21474: 김태중에게 AI·로봇·배터리 투자의 10년 로드맵을 설득하고 올해 안 진지한 만남을 약속한 뒤, 박만덕에게 상반기 펀드를 채권 위주로 운용하라며 책임을 자신이 진다고 지시한다","124화의 지급 ‘러시아 천연자원 개발과 현지 자동차·전자 공장 혜택이 김태중에게 전달되고, 월가를 섞어 위험을 분산하는 사업안도 승인을 얻는다’은 DCA-N11 소유다. 끝 훅 ‘김태중이 방으로 들어간 뒤 민재는 미안함을 느끼면서도 새로운 태우그룹을 만들려면 물갈이가 필요하다고 결론낸다’은 bridge이고 125화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
15,DCA-N12,125,134,DCA-N12,SHIFT,현재건설 부도에서 태우반도체 인수·아이폰 수요,현재건설 부도에서 태우반도체 인수·아이폰 수요의 약속을 애플 주가와 태우 반도체 수요 회복의 근거를 얻는다까지 실제 장면으로 결산하는가?,L24605~L24622,"L24605~L24622; predecessor=124화 L22596~L22793: 러시아 천연자원 개발과 현지 자동차·전자 공장 혜택이 김태중에게 전달되고, 월가를 섞어 위험을 분산하는 사업안도 승인을 얻는다; next=125화 L22794~L22969: 이주영에게 추가 출혈 없이 15% 격차를 유지시키고, 박만덕에게 계열사 자사주 매입과 애플 장기 보유를 제안한 뒤 장경준에게 현재건설의 10월 어음과 1조 원대 이라크 미수금·총 2조 원대 손실을 짚어준다","124화 L22596~L22793: 러시아 천연자원 개발과 현지 자동차·전자 공장 혜택이 김태중에게 전달되고, 월가를 섞어 위험을 분산하는 사업안도 승인을 얻는다","125화 L22794~L22969: 이주영에게 추가 출혈 없이 15% 격차를 유지시키고, 박만덕에게 계열사 자사주 매입과 애플 장기 보유를 제안한 뒤 장경준에게 현재건설의 10월 어음과 1조 원대 이라크 미수금·총 2조 원대 손실을 짚어준다",134화의 지급 ‘애플 주가와 태우 반도체 수요 회복의 근거를 얻는다’은 DCA-N12 소유다. 끝 훅 ‘미국 취임식 이후 정치 관계와 국내 공격 조짐을 살펴야 한다’은 bridge이고 135화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
16,DCA-N13,135,142,DCA-N12+DCA-N13,MERGE_SHIFT,윤현길 미끼와 김태중 무혐의 보호,윤현길 미끼와 김태중 무혐의 보호의 약속을 가족 생존과 태우의 경영 승계를 함께 지킨다까지 실제 장면으로 결산하는가?,L24605~L24622;L24973~L24988,L24605~L24622;L24973~L24988; predecessor=134화 L24409~L24613: 애플 주가와 태우 반도체 수요 회복의 근거를 얻는다; next=135화 L24614~L24799: 부시 취임식 참석 뒤 윤현길 측의 수사 모의를 파악하고 중국의 쩡홍친을 만나러 간다,134화 L24409~L24613: 애플 주가와 태우 반도체 수요 회복의 근거를 얻는다,135화 L24614~L24799: 부시 취임식 참석 뒤 윤현길 측의 수사 모의를 파악하고 중국의 쩡홍친을 만나러 간다,142화의 지급 ‘가족 생존과 태우의 경영 승계를 함께 지킨다’은 DCA-N13 소유다. 끝 훅 ‘김태중이 베트남으로 떠난 뒤 민재 혼자 한 달 남은 아이폰 국내 출시와 그룹 경영을 감당해야 한다.’은 bridge이고 143화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
17,DCA-N14,143,146,DCA-N14,KEEP,WIPI 통상압력과 부품 분열,WIPI 통상압력과 부품 분열의 약속을 국내 아이폰 생산·판매가 가능한 규제 환경을 얻는다까지 실제 장면으로 결산하는가?,L26108~L26781,L26108~L26781; predecessor=142화 L25922~L26107: 가족 생존과 태우의 경영 승계를 함께 지킨다; next=143화 L26108~L26283: 통신 카르텔과 직접 협상이 깨지자 데이비드를 미국으로 보내 통상 문제화를 준비한다,142화 L25922~L26107: 가족 생존과 태우의 경영 승계를 함께 지킨다,143화 L26108~L26283: 통신 카르텔과 직접 협상이 깨지자 데이비드를 미국으로 보내 통상 문제화를 준비한다,146화의 지급 ‘국내 아이폰 생산·판매가 가능한 규제 환경을 얻는다’은 DCA-N14 소유다. 끝 훅 ‘한국 생산 단가 부담을 감수한 물량 확보가 아이폰 판매와 태우통신 고객 전환으로 돌아올 수 있는가?’은 bridge이고 147화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
18,DCA-N15,147,150,DCA-N15,SPLIT,아이폰·애플AI·아마존 로봇 계약,아이폰·애플AI·아마존 로봇 계약의 약속을 아마존 로봇 파트너십과 데이비드의 8월 전 WTC 장기임차 성사 약속을 얻는다.까지 실제 장면으로 결산하는가?,L27455~L27472,L27455~L27472; predecessor=146화 L26622~L26781: 국내 아이폰 생산·판매가 가능한 규제 환경을 얻는다; next=147화 L26782~L26941: 초도 10만 대가 일주일 만에 매진되자 500곳 넘는 매장에 와이파이·충전망을 설치한다,146화 L26622~L26781: 국내 아이폰 생산·판매가 가능한 규제 환경을 얻는다,147화 L26782~L26941: 초도 10만 대가 일주일 만에 매진되자 500곳 넘는 매장에 와이파이·충전망을 설치한다,150화의 지급 ‘아마존 로봇 파트너십과 데이비드의 8월 전 WTC 장기임차 성사 약속을 얻는다.’은 DCA-N15 소유다. 끝 훅 ‘태우·카이자동차 두 사장이 기존 로봇 팔을 넘어설 스마트팩토리 협력에 응할 것인가?’은 bridge이고 151화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
19,DCA-N15B,151,153,DCA-N15,SPLIT,WTC 99년 임차와 9·11 생존·미국 방패,WTC 99년 임차와 9·11 생존·미국 방패의 약속을 AI 스승과 미국 자동차시장 방패를 동시에 얻는다까지 실제 장면으로 결산하는가?,L27455~L27472,L27455~L27472; predecessor=150화 L27279~L27463: 아마존 로봇 파트너십과 데이비드의 8월 전 WTC 장기임차 성사 약속을 얻는다.; next=151화 L27464~L27639: 99년 32억 달러 임차를 확정하고 모든 보험을 든 뒤 두 동을 비우는 리모델링과 구조 인력 배치를 지시한다,150화 L27279~L27463: 아마존 로봇 파트너십과 데이비드의 8월 전 WTC 장기임차 성사 약속을 얻는다.,151화 L27464~L27639: 99년 32억 달러 임차를 확정하고 모든 보험을 든 뒤 두 동을 비우는 리모델링과 구조 인력 배치를 지시한다,153화의 지급 ‘AI 스승과 미국 자동차시장 방패를 동시에 얻는다’은 DCA-N15B 소유다. 끝 훅 ‘공화당 재선 지원 약속으로 미국시장 방패를 얻되 태우를 전쟁 소용돌이에 넣지 않는 선을 지킬 수 있는가?’은 bridge이고 154화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
20,DCA-N16,154,159,DCA-N16,SPLIT,세이월드 대신 SNS·메신저·숏폼 창업자 계약,세이월드 대신 SNS·메신저·숏폼 창업자 계약의 약속을 메신저와 짧은 영상 SNS의 핵심 창업자·기술을 선점한다까지 실제 장면으로 결산하는가?,L28993~L29010,L28993~L29010; predecessor=153화 L27824~L28005: AI 스승과 미국 자동차시장 방패를 동시에 얻는다; next=154화 L28006~L28171: 아이폰·스마트TV 현황을 보고받고 세이월드 대표를 만나고 싶다고 지시한다.,153화 L27824~L28005: AI 스승과 미국 자동차시장 방패를 동시에 얻는다,154화 L28006~L28171: 아이폰·스마트TV 현황을 보고받고 세이월드 대표를 만나고 싶다고 지시한다.,159화의 지급 ‘메신저와 짧은 영상 SNS의 핵심 창업자·기술을 선점한다’은 DCA-N16 소유다. 끝 훅 ‘서문영의 지장으로 새 SNS를 확보한 민재가 두 소셜 서비스를 어떻게 묶어 키울 것인가?’은 bridge이고 160화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
21,DCA-N16B,160,166,DCA-N16,SPLIT,CL카드·태우카드·외환은행 회수,CL카드·태우카드·외환은행 회수의 약속을 외환은행 인수 우위와 가전 매출 반등을 얻는다까지 실제 장면으로 결산하는가?,L28993~L29010;L29504~L29523,L28993~L29010;L29504~L29523; predecessor=159화 L28839~L29001: 메신저와 짧은 영상 SNS의 핵심 창업자·기술을 선점한다; next=160화 L29002~L29175: 박만덕과 이영한에게 CL카드 채권·10조 원대 유동성을 설명하고 대출 차단·채권 압박·부실 발급 가속을 맡긴다,159화 L28839~L29001: 메신저와 짧은 영상 SNS의 핵심 창업자·기술을 선점한다,160화 L29002~L29175: 박만덕과 이영한에게 CL카드 채권·10조 원대 유동성을 설명하고 대출 차단·채권 압박·부실 발급 가속을 맡긴다,166화의 지급 ‘외환은행 인수 우위와 가전 매출 반등을 얻는다’은 DCA-N16B 소유다. 끝 훅 ‘애플·태우 TV로 바뀐 태우전자 이미지를 신혼부부 할인과 후속 판매로 얼마나 키울 수 있는가?’은 bridge이고 167화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
22,DCA-N17,167,176,DCA-N17,KEEP,천민정 보호와 비트코인·AI·SNS 실전배치,천민정 보호와 비트코인·AI·SNS 실전배치의 약속을 서광수 영입을 확정하고 옛 개발진 회수와 한국형 페이스북 반격을 시작한다까지 실제 장면으로 결산하는가?,L30812~L30827;L31193~L31208,L30812~L30827;L31193~L31208; predecessor=166화 L30048~L30224: 외환은행 인수 우위와 가전 매출 반등을 얻는다; next=167화 L30225~L30423: 탈락 이력서까지 보름 동안 훑어 A급 다섯 명을 인턴으로 넣고 프로그래밍·알고리즘 S급 천민정을 추적해 술집에서 만난다,166화 L30048~L30224: 외환은행 인수 우위와 가전 매출 반등을 얻는다,167화 L30225~L30423: 탈락 이력서까지 보름 동안 훑어 A급 다섯 명을 인턴으로 넣고 프로그래밍·알고리즘 S급 천민정을 추적해 술집에서 만난다,176화의 지급 ‘서광수 영입을 확정하고 옛 개발진 회수와 한국형 페이스북 반격을 시작한다’은 DCA-N17 소유다. 끝 훅 ‘김태중이 천민정을 따로 불러 손자와의 관계를 묻는다’은 bridge이고 177화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
23,DCA-N18,177,180,DCA-N18,SPLIT,가족 허락과 페이팔·머스크 기술방패,가족 허락과 페이팔·머스크 기술방패의 약속을 다음 아이폰에 넣을 음성비서 성과와 IIT 유치의 명확한 목표를 얻는다까지 실제 장면으로 결산하는가?,L32789~L32806,L32789~L32806; predecessor=176화 L31916~L32080: 서광수 영입을 확정하고 옛 개발진 회수와 한국형 페이스북 반격을 시작한다; next=177화 L32081~L32276: 김태중은 과거 결혼 압박을 사과하며 손자 곁에 있어 달라고 말하고 민재는 다이먼에게 실리콘밸리 영업 지원을 약속한 뒤 천민정과 호텔 회의실로 간다,176화 L31916~L32080: 서광수 영입을 확정하고 옛 개발진 회수와 한국형 페이스북 반격을 시작한다,177화 L32081~L32276: 김태중은 과거 결혼 압박을 사과하며 손자 곁에 있어 달라고 말하고 민재는 다이먼에게 실리콘밸리 영업 지원을 약속한 뒤 천민정과 호텔 회의실로 간다,180화의 지급 ‘다음 아이폰에 넣을 음성비서 성과와 IIT 유치의 명확한 목표를 얻는다’은 DCA-N18 소유다. 끝 훅 ‘IIT 한국 캠퍼스를 실제 유치해 힌톤팀 교수직과 인재 공급을 함께 해결할 수 있는가?’은 bridge이고 181화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
24,DCA-N18B,181,183,DCA-N18,SPLIT,KS 불법 대선자금과 세이월드 역공,KS 불법 대선자금과 세이월드 역공의 약속을 틱택톡 공동대표 두 명과 세이월드 출신 인력의 이동 선택권을 확보한다까지 실제 장면으로 결산하는가?,L32789~L32806;L33284~L33305,L32789~L32806;L33284~L33305; predecessor=180화 L32618~L32797: 다음 아이폰에 넣을 음성비서 성과와 IIT 유치의 명확한 목표를 얻는다; next=181화 L32798~L32963: 강 대위와 국세청 인맥을 움직여 KS해운 비자금·현금 차량을 추적하고 야당과 검찰에 정보를 흘리게 한다,180화 L32618~L32797: 다음 아이폰에 넣을 음성비서 성과와 IIT 유치의 명확한 목표를 얻는다,181화 L32798~L32963: 강 대위와 국세청 인맥을 움직여 KS해운 비자금·현금 차량을 추적하고 야당과 검찰에 정보를 흘리게 한다,183화의 지급 ‘틱택톡 공동대표 두 명과 세이월드 출신 인력의 이동 선택권을 확보한다’은 DCA-N18B 소유다. 끝 훅 ‘천민정이 공들인 태우·애플 비밀제품을 유출 없이 폭발적으로 공개할 수 있는가?’은 bridge이고 184화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
25,DCA-N18C,184,186,DCA-N18,SPLIT,비트코인 게임결제와 WWDC 시리·IoT 시연,비트코인 게임결제와 WWDC 시리·IoT 시연의 약속을 에어팟·스마트워치급 공동개발 의제와 애플의 지원 약속을 얻는다까지 실제 장면으로 결산하는가?,L33284~L33305,L33284~L33305; predecessor=183화 L33127~L33294: 틱택톡 공동대표 두 명과 세이월드 출신 인력의 이동 선택권을 확보한다; next=184화 L33295~L33460: 태우IT 회의에 게임사 대표들을 불러 채굴 보상·아이템 결제·국경 없는 거래를 제안하고 사용량 제한과 지역락 방어책을 확인한 뒤 샌프란시스코로 간다,183화 L33127~L33294: 틱택톡 공동대표 두 명과 세이월드 출신 인력의 이동 선택권을 확보한다,184화 L33295~L33460: 태우IT 회의에 게임사 대표들을 불러 채굴 보상·아이템 결제·국경 없는 거래를 제안하고 사용량 제한과 지역락 방어책을 확인한 뒤 샌프란시스코로 간다,186화의 지급 ‘에어팟·스마트워치급 공동개발 의제와 애플의 지원 약속을 얻는다’은 DCA-N18C 소유다. 끝 훅 ‘애플 전문가를 한국에 붙여 무선이어폰·스마트워치 아이디어를 실제 제품으로 만들 수 있는가?’은 bridge이고 187화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
26,DCA-N19,187,191,DCA-N19,KEEP,인도 공장·IIT와 아노르 프리미엄 동맹,인도 공장·IIT와 아노르 프리미엄 동맹의 약속을 유럽 명품 동맹과 깨끗한 경제인·정치인 연합이라는 목표를 함께 얻는다.까지 실제 장면으로 결산하는가?,L33839~L34776,L33839~L34776; predecessor=186화 L33665~L33838: 에어팟·스마트워치급 공동개발 의제와 애플의 지원 약속을 얻는다; next=187화 L33839~L34048: 우성일에게 과소 생산계획 책임을 묻고 베트남 공장 확대와 인도 대규모 가전 공장 신설을 검토시킨다,186화 L33665~L33838: 에어팟·스마트워치급 공동개발 의제와 애플의 지원 약속을 얻는다,187화 L33839~L34048: 우성일에게 과소 생산계획 책임을 묻고 베트남 공장 확대와 인도 대규모 가전 공장 신설을 검토시킨다,191화의 지급 ‘유럽 명품 동맹과 깨끗한 경제인·정치인 연합이라는 목표를 함께 얻는다.’은 DCA-N19 소유다. 끝 훅 ‘기존 이권에 얽히지 않고 오직 태우와 경제발전을 위해 일할 정치인을 어떻게 모을 것인가?’은 bridge이고 192화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
27,DCA-N20,192,199,DCA-N20,KEEP,천민우 보호와 국민경제당·원자재 임무,천민우 보호와 국민경제당·원자재 임무의 약속을 미래 공급망 목록과 국민경제당의 전국 노출 기회를 얻는다까지 실제 장면으로 결산하는가?,L34777~L36165,L34777~L36165; predecessor=191화 L34605~L34776: 유럽 명품 동맹과 깨끗한 경제인·정치인 연합이라는 목표를 함께 얻는다.; next=192화 L34777~L34942: 최재석에게 후보 약 50명 선별을 맡기고 불량학생 4~5명이 천민정의 동생 머리를 때리고 식판에 침을 뱉는 영상을 확인한다.,191화 L34605~L34776: 유럽 명품 동맹과 깨끗한 경제인·정치인 연합이라는 목표를 함께 얻는다.,192화 L34777~L34942: 최재석에게 후보 약 50명 선별을 맡기고 불량학생 4~5명이 천민정의 동생 머리를 때리고 식판에 침을 뱉는 영상을 확인한다.,199화의 지급 ‘미래 공급망 목록과 국민경제당의 전국 노출 기회를 얻는다’은 DCA-N20 소유다. 끝 훅 ‘양당 정쟁과 달리 경제만 말하는 국민경제당 전략이 중도표를 실제 흡수할 수 있는가?’은 bridge이고 200화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
28,DCA-N20B,200,202,DCA-N20B,KEEP,판타지TV 50억 합작과 슈퍼볼 영상팀,"판타지TV 50억 합작과 슈퍼볼 영상팀의 약속을 태우 광고의 슈퍼볼 송출과 채드·스티브 영입, 영상 공유 서비스의 발상을 얻는다.까지 실제 장면으로 결산하는가?",L36166~L36693,L36166~L36693; predecessor=199화 L36009~L36165: 미래 공급망 목록과 국민경제당의 전국 노출 기회를 얻는다; next=200화 L36166~L36346: 투자 제안서를 다시 찾아 김익수를 부회장실로 부른 뒤 국내 서비스만으로는 서버와 저작권 비용을 버티기 어렵고 세계화에는 수백억 원이 든다고 경고한다,199화 L36009~L36165: 미래 공급망 목록과 국민경제당의 전국 노출 기회를 얻는다,200화 L36166~L36346: 투자 제안서를 다시 찾아 김익수를 부회장실로 부른 뒤 국내 서비스만으로는 서버와 저작권 비용을 버티기 어렵고 세계화에는 수백억 원이 든다고 경고한다,"202화의 지급 ‘태우 광고의 슈퍼볼 송출과 채드·스티브 영입, 영상 공유 서비스의 발상을 얻는다.’은 DCA-N20B 소유다. 끝 훅 ‘인도 총선·미국 대선·오바마 보고에서 확인된 결과가 다음 정치 선택에 어떤 영향을 줄 것인가?’은 bridge이고 203화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
29,DCA-N20C,203,206,DCA-N20C,KEEP,리사 수 사장 취임과 남미 리튬 권리,리사 수 사장 취임과 남미 리튬 권리의 약속을 리사 수 영입·취임과 천민정과의 장기 협업축을 확정한다까지 실제 장면으로 결산하는가?,L36694~L37418,"L36694~L37418; predecessor=202화 L36523~L36693: 태우 광고의 슈퍼볼 송출과 채드·스티브 영입, 영상 공유 서비스의 발상을 얻는다.; next=203화 L36694~L36882: 리사 수에게 태우전자 사장·반도체 개발총괄·5배 연봉을 제안한 뒤 답을 기다리며 사우디 왕궁에 프리미엄 가전을 설치하고 무함마드 왕자와 교분을 쌓는다","202화 L36523~L36693: 태우 광고의 슈퍼볼 송출과 채드·스티브 영입, 영상 공유 서비스의 발상을 얻는다.",203화 L36694~L36882: 리사 수에게 태우전자 사장·반도체 개발총괄·5배 연봉을 제안한 뒤 답을 기다리며 사우디 왕궁에 프리미엄 가전을 설치하고 무함마드 왕자와 교분을 쌓는다,206화의 지급 ‘리사 수 영입·취임과 천민정과의 장기 협업축을 확정한다’은 DCA-N20C 소유다. 끝 훅 ‘국민경제당이 세계 IT 거물들을 불러 총선 공개행사를 연다’은 bridge이고 207화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
30,DCA-N20D,207,209,DCA-N20D,KEEP,국민경제당 38석과 AI 학습 지급,국민경제당 38석과 AI 학습 지급의 약속을 국민경제당의 독자 교섭력과 논문 중심의 대규모 AI 학습 진전을 얻는다까지 실제 장면으로 결산하는가?,L37419~L37935,L37419~L37935; predecessor=206화 L37236~L37418: 리사 수 영입·취임과 천민정과의 장기 협업축을 확정한다; next=207화 L37419~L37592: 아마존·구글·애플 CEO가 참여한 경제 대담을 열어 최재석과 나란히 세우고 리사 수에게 퀄컴을 겨눌 팹리스 회사 설립과 투자 재량을 준다,206화 L37236~L37418: 리사 수 영입·취임과 천민정과의 장기 협업축을 확정한다,207화 L37419~L37592: 아마존·구글·애플 CEO가 참여한 경제 대담을 열어 최재석과 나란히 세우고 리사 수에게 퀄컴을 겨눌 팹리스 회사 설립과 투자 재량을 준다,209화의 지급 ‘국민경제당의 독자 교섭력과 논문 중심의 대규모 AI 학습 진전을 얻는다’은 DCA-N20D 소유다. 끝 훅 ‘리사 수와 천민정 두 천재의 매일 회의가 어떤 돈 되는 아이디어를 더 만들어낼 것인가?’은 bridge이고 210화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
