arc_id,start_sequence,end_sequence,pacing_reading,avg_tension,avg_reward,avg_hook,peak_tension_sequence,peak_tension_label,peak_tension_event,peak_tension_score,peak_reward_sequence,peak_reward_label,peak_reward_event,peak_reward_score,peak_hook_sequence,peak_hook_label,peak_hook_event,peak_hook_score,avg_information,avg_action,avg_relationship,avg_emotion,avg_material_or_status
DCA-N58B,655,661,655화 개인복수 잔향에서 조지의 작전으로 전환하고 660화는 폴란드 20조·은행지급 뒤 로나 결과를 기다린다. 661화 폭락·베릴 복권이 물질·관계의 이중봉우리다.,7.14,7.43,7.29,656,656,금융타워를 거절한 리퍼블릭은행의 뱅크런을 방치해 본보기로 만들고 시그니처를 인수한다,8,661,661,"로나가 85달러에서 0.003달러 미만으로 99% 폭락하고 시가총액 약 400억 달러 가운데 절반가량, 약 200억 달러를 금융타워가 흡수한 사실을 확인한다. 파산할 가상화폐 헤지펀드 자금까지 흡수하면 최소 총 300억 달러가 될 것이라는 전망을 따로 받고, 공개 복권된 베릴 뒤 김태중에게 동남아 식량·러시아 에너지 순방을 부탁한다.",9,658,658,70조 엔 엔캐리 계약을 확인한 뒤 크레디트스위스 1달러 인수와 스위스의 유럽 방공망 참여를 제안한다.,8,0.231,0.171,0.213,0.110,0.274
DCA-N59,662,662,단화 안에서 협상조건과 시장가격을 빠르게 연결한다. 포괄 한국예외가 아니라 태우 물량·대가를 구체적으로 보여 주는 조손 실행보상이다.,6.00,8.00,6.00,662,662,"김태중이 베트남·동남아와 협상해 태우그룹 소유 농장의 농산물에는 수출제한을 두지 않고, 제한품목인 팜유는 태우상사에 공급받는다. 대가로 태우해운 원유 운송량 30% 이상 증가, 정유시설 지분 10%, 일부 국가 투자약속을 내주며 동남아산 팜유와 인도산 밀 공급재개 뒤 물가가 빠르게 안정되는 결과까지 확인한다.",6,662,662,"김태중이 베트남·동남아와 협상해 태우그룹 소유 농장의 농산물에는 수출제한을 두지 않고, 제한품목인 팜유는 태우상사에 공급받는다. 대가로 태우해운 원유 운송량 30% 이상 증가, 정유시설 지분 10%, 일부 국가 투자약속을 내주며 동남아산 팜유와 인도산 밀 공급재개 뒤 물가가 빠르게 안정되는 결과까지 확인한다.",8,662,662,"김태중이 베트남·동남아와 협상해 태우그룹 소유 농장의 농산물에는 수출제한을 두지 않고, 제한품목인 팜유는 태우상사에 공급받는다. 대가로 태우해운 원유 운송량 30% 이상 증가, 정유시설 지분 10%, 일부 국가 투자약속을 내주며 동남아산 팜유와 인도산 밀 공급재개 뒤 물가가 빠르게 안정되는 결과까지 확인한다.",6,0.180,0.250,0.200,0.080,0.290
DCA-N59B,663,664,"663화 물류·지분은 정보와 물질 중심, 664화 공연은 관객·감정 중심으로 리본이 바뀐다. 숫자설명보다 만석 반응에 오래 머문다.",4.00,6.50,6.50,663,663,로봇 물류와 일본 3대 상사 지분 50퍼센트를 활용하고 엔캐리 500억 달러 이익을 전망한다,4,663,663,로봇 물류와 일본 3대 상사 지분 50퍼센트를 활용하고 엔캐리 500억 달러 이익을 전망한다,7,663,663,로봇 물류와 일본 3대 상사 지분 50퍼센트를 활용하고 엔캐리 500억 달러 이익을 전망한다,7,0.220,0.180,0.210,0.095,0.295
DCA-N59C,665,668,미국 농업연맹 공격으로 적의 얼굴을 먼저 세우고 정상·기업 협상은 단계별로 지급한다. 668화 합의 뒤 로만의 사적 지원요청이 거대외교의 온도를 낮춘다.,7.00,7.25,7.00,668,668,바이든에게 곡물메이저의 압박을 알리고 IRS가 불법·탈세 혐의를 제시하자 곡물메이저가 태우 방해를 멈추기로 한다. IRS는 조사를 보류하고 빈 살만은 OPEC+ 증산안을 논의하겠다고 답하지만 실제 증산은 아직 없다.,8,667,667,바이든에게 금융타워를 보여 주고 반도체 특별대우를 받은 뒤 사우디 협상을 제안한다,8,667,667,바이든에게 금융타워를 보여 주고 반도체 특별대우를 받은 뒤 사우디 협상을 제안한다,8,0.205,0.150,0.338,0.130,0.178
DCA-N60,669,672,로만의 생활비 대화는 관계·감정에 머물고 보급선은 빠르게 실행한다. 672화 대선보험 확정 뒤 사우디 PIF 제안으로 물질규모가 급상승한다.,6.25,5.75,7.00,671,671,로만·프리고진을 보안 메타버스에서 강 대위와 연결하고 동남아 에너지 수익을 제공한다,7,669,669,구단 급료와 생활비까지 막힌 로만의 사정을 듣고 제재에 걸리지 않는 지원 방법을 찾아 알려 주겠다고 약속하며 친구로서 연락을 계속한다.,7,670,670,로만이 튀르키예에서 지친 프리고진을 만나 서로의 처지를 확인하고 김민재의 조언을 구해 보자고 제안한다.,8,0.218,0.148,0.345,0.180,0.110
DCA-N60B,673,675,673화 6천억 달러 제안에 물질중량을 주고 프로젝트 배분은 정보로 압축한다. 675화 증산 발표는 작은 시장봉우리이며 미서명 조건이 다음 주의 압박을 남긴다.,6.00,8.33,7.00,674,674,PIF를 성과보수·위험조건으로 받고 바이든·MBS 증산 뒤 원유 공매도를 건다,7,675,675,"네옴 공연장·사우디 통신망·해저케이블·행정IT의 예상 규모와 비용분담을 사장들과 정리하고 실무진 파견을 지시한 뒤, PIF 확대와 바그너 보급선을 점검하고 25만 배럴 증산 발표를 확인한다.",9,673,673,러시아의 노르트스트림 차단 뒤 사우디에서 살만 국왕의 6천억 달러 PIF 위탁 제안을 받는다,8,0.257,0.127,0.250,0.107,0.260
DCA-N61,676,679,정책보고는 낮은 긴장으로 시작해 빅테크 자금이 몇 시간 만에 모이는 장면에서 보상을 급상승시킨다. 679화 합작 뒤 제품공개로 초점을 좁힌다.,5.50,7.00,7.00,676,676,"최재석에게 태우 세계 1위·한국 경제 5위와 부산 엑스포 구상을 설명하고, 금융타워 보고서를 이번 주 전달해 경제부처가 검토하도록 요청한다.",6,679,679,아마존·구글·MS·메타와 1천억 달러 AI 데이터센터를 동등지분으로 만든다,9,677,677,천민정의 생성형 AI·영상 기술을 확인하고 오용재를 만나 삼진의 역사를 바꿀 스마트폰 협업 제안을 꺼내기 시작한다.,8,0.252,0.135,0.280,0.070,0.262
DCA-N61B,680,681,"680화 완성확인·공개결정은 준비, 681화 모터쇼 관객·계약요청이 보상이다. 제품반응 뒤 N&K 주가조작이 긴장을 즉시 되살린다.",6.50,8.00,7.50,681,681,파리 모터쇼에서 고체배터리와 T-9의 1천 킬로미터 주행·10분 충전을 공개한다. 세계 완성차들이 공급계약을 요구하자 준비한 계약서를 건네지만 서명은 아직 확인되지 않는다.,8,680,680,AI 주문 폭증과 고체배터리 완성을 확인하고 파리 모터쇼 공개를 결정한다,8,680,680,AI 주문 폭증과 고체배터리 완성을 확인하고 파리 모터쇼 공개를 결정한다,8,0.235,0.185,0.210,0.110,0.260
DCA-N62,682,684,682화 주가조작 포착에서 불안을 만들고 계좌·계약 증거를 쌓는다. 684화 동결·체포를 행동봉우리로 준 뒤 안덕환의 대박 외침으로 다른 산업보상을 연다.,7.33,5.67,8.33,684,684,계좌를 동결하고 검찰이 둘을 체포하게 해 시장충격 없이 제거한다,8,684,684,계좌를 동결하고 검찰이 둘을 체포하게 해 시장충격 없이 제거한다,8,683,683,이영한이 나기연 조직을 압박하자 김남훈이 배신을 결심하고 10분 안에 증거를 가져오겠다고 제안한다.,9,0.233,0.247,0.210,0.160,0.150
DCA-N62B,685,687,685화 원전 대박은 짧은 진입보상이고 제약 M&A 대상탐색·가족협상에 더 오래 머문다. 687화 경영권 이전 뒤 러북 거래자료로 주제가 급변한다.,7.33,7.67,8.00,687,687,"한아약품 모녀·형제들의 가족지분을 태우와 금융타워로 넘겨 경영권을 확보한다. 센트리언 매각은 다음 해 계획으로 남고, 북한 미사일이 NLL 남쪽에 떨어졌다가 경보가 해제되자 장남 카드를 움직일 대응을 연다.",9,686,686,한아약품 모녀 지분을 20퍼센트 프리미엄에 사서 월가 사모펀드가 붙은 아들들과 맞선다.,8,687,687,"한아약품 모녀·형제들의 가족지분을 태우와 금융타워로 넘겨 경영권을 확보한다. 센트리언 매각은 다음 해 계획으로 남고, 북한 미사일이 NLL 남쪽에 떨어졌다가 경보가 해제되자 장남 카드를 움직일 대응을 연다.",9,0.170,0.167,0.270,0.153,0.240
DCA-N63,688,688,강 대위 사무실의 데이비드 대화에 오래 머문 뒤 하루를 건너 세 정보선의 보고를 짧게 겹친다. 마지막은 공개나 공급 결과가 아니라 바그너의 불만으로 러시아 분열을 설계할 수 있는지 묻는 정보 중심 훅이다.,8.00,6.00,7.00,688,688,"강 대위 사무실에서 데이비드와 중국·북한 관계, 장남, 러북 거래 가능성을 검토한다. 하루 뒤 데이비드의 러시아·미국 정보선, 강 대위의 바그너 보급선, 이영한의 연변 장마당선이 러시아의 식량 반출과 북한산 무기·탄약 거래를 같은 방향으로 확인한다. 김민재는 중국 고위층과 장남의 비공식 접촉, 러시아의 북한무기 수입 언론 제보, 한국의 우크라이나 무기지원 위협, 바그너 불만 감시를 각각 지시한다.",8,688,688,"강 대위 사무실에서 데이비드와 중국·북한 관계, 장남, 러북 거래 가능성을 검토한다. 하루 뒤 데이비드의 러시아·미국 정보선, 강 대위의 바그너 보급선, 이영한의 연변 장마당선이 러시아의 식량 반출과 북한산 무기·탄약 거래를 같은 방향으로 확인한다. 김민재는 중국 고위층과 장남의 비공식 접촉, 러시아의 북한무기 수입 언론 제보, 한국의 우크라이나 무기지원 위협, 바그너 불만 감시를 각각 지시한다.",6,688,688,"강 대위 사무실에서 데이비드와 중국·북한 관계, 장남, 러북 거래 가능성을 검토한다. 하루 뒤 데이비드의 러시아·미국 정보선, 강 대위의 바그너 보급선, 이영한의 연변 장마당선이 러시아의 식량 반출과 북한산 무기·탄약 거래를 같은 방향으로 확인한다. 김민재는 중국 고위층과 장남의 비공식 접촉, 러시아의 북한무기 수입 언론 제보, 한국의 우크라이나 무기지원 위협, 바그너 불만 감시를 각각 지시한다.",7,0.420,0.170,0.220,0.100,0.090
DCA-N63B,689,690,689화 리강 신뢰확인 뒤 스와프·자산조건을 압축하고 690화 원화 결제합의에서 물질·지위보상을 준다. 고체배터리 가격장벽이 다음 기술압박이다.,6.00,6.50,7.00,689,689,총리가 된 리강의 장남 지원을 확인하고 걸프 스와프·자산으로 원화 국제화를 짠다,6,689,689,총리가 된 리강의 장남 지원을 확인하고 걸프 스와프·자산으로 원화 국제화를 짠다,7,689,689,총리가 된 리강의 장남 지원을 확인하고 걸프 스와프·자산으로 원화 국제화를 짠다,7,0.280,0.100,0.300,0.080,0.240
DCA-N64,691,693,"화재뉴스와 가격장벽은 정보압박, 스파이 추적은 행동긴장으로 리본이 바뀐다. 693화 보너스·환수는 관계와 물질의 결산이다.",7.00,5.67,7.33,692,692,화재보도 반응과 중국 기술요구를 확인하다 직원명부로 산업스파이를 추적한다,8,691,691,고체배터리 가격장벽을 넘기 위해 전기차 화재·한파를 뉴스 의제로 설계하고 최재석에게 정책지원과 국민경제당 후계구도를 논의한다.,7,692,692,화재보도 반응과 중국 기술요구를 확인하다 직원명부로 산업스파이를 추적한다,8,0.260,0.240,0.203,0.177,0.120
DCA-N64B,694,696,정상회의의 긴 협상을 압축하되 각국 배터리 배정표와 공동로비 합의에서 멈춘다. 697화 해상도시 장면이 회의실 추상을 시각적 실물로 바꾼다.,7.00,7.33,7.00,694,694,폴란드 원전 설명회에서 동유럽 정상들에게 금융타워 중심 경제블록을 제안한다,7,695,695,방산·원전·연구투자를 묶어 동유럽 정상 전원의 경제블록 동의를 받는다,8,695,695,방산·원전·연구투자를 묶어 동유럽 정상 전원의 경제블록 동의를 받는다,8,0.233,0.127,0.340,0.070,0.230
DCA-N65,697,710,697~705화 실물도시·배터리 개발과 706~710화 외교전은 같은 엑스포 질문으로 이어진다. 정부 영상·빈 살만 철회·지분계약을 서로 다른 봉우리로 배치한다.,6.86,7.07,7.00,707,707,김태중과 리즈 경기를 본 뒤 빈 살만에게 부산 엑스포 양보를 요구한다,9,701,701,세계 최초 고체배터리 전기차 이오닉스 6천 대를 하루 만에 팔고 10만 대 예약을 받는다,9,703,703,전 계열사를 투입해 공장을 전환하면서 리강의 고체배터리 협상단을 맞는다,8,0.236,0.164,0.277,0.124,0.199
DCA-N67,711,715,710화 일본 D-DAY 여진 뒤 중국 특혜의 독을 차분히 검토한다. 715화 철수권 지급 직후 프리고진 반란을 열어 보상과 위기를 한 화 안에서 구분한다.,7.80,5.00,7.60,715,715,중국 특구의 철수권 조건을 점검하고 계열사들이 진출준비를 시작한다. 마지막에는 프리고진과 바그너 지도부가 러시아로 가기로 결정하지만 행군·점령·반란결과는 아직 없다.,9,711,711,바흐무트 승리 뒤 바그너 불만과 엔비디아 사기꾼을 확인하고 중국 특혜의 독을 경계한다,5,715,715,중국 특구의 철수권 조건을 점검하고 계열사들이 진출준비를 시작한다. 마지막에는 프리고진과 바그너 지도부가 러시아로 가기로 결정하지만 행군·점령·반란결과는 아직 없다.,9,0.264,0.208,0.258,0.162,0.108
DCA-N67B,716,720,716화 가스거점·에너지 위험을 빠르게 계산하고 무기·선박 이동에 행동비중을 높인다. 720화 승인·경제영토 지급 뒤 직접 휴전중재 결심으로 관계목표가 바뀐다.,7.80,6.60,7.20,716,716,바그너 반란의 자금·가스거점 장악 가능성을 읽고 한 부회장에게 장기 에너지 대응을 시킨다,9,720,720,미국이 항모운용 제안을 받아들이고 무기수송선은 13일 만에 수에즈에 도착해 대기 없이 통과한다. 전투기는 이미 폴란드에 있고 동유럽 재고도 우크라이나로 넘어간 것을 확인한 뒤 지린특구·북한·러시아 육로 경제영토를 설계한다.,9,716,716,바그너 반란의 자금·가스거점 장악 가능성을 읽고 한 부회장에게 장기 에너지 대응을 시킨다,8,0.244,0.236,0.270,0.122,0.128
DCA-N68,721,731,721~731화는 푸틴→프리고진→백악관·EU→젤렌스키로 설득대상을 바꾸며 긴장을 상승시킨다. 725→726 선박면담은 이어 읽고 731화 초 합의를 결산봉우리로 둔다.,8.18,6.27,7.91,722,722,일본의 태우IT 지분 49퍼센트 강제안에 일본 철수를 선언하도록 한다,9,731,731,우크라이나·벨라루스 협상일정을 확정하고 이스라엘 PMC 계약·드론 수송·대피소 착공을 확인한다. 일본에는 1천2백억 달러 상당 엔화를 반나절 만에 상환해 니케이 15퍼센트·나스닥과 KOSPI 6퍼센트 하락을 만들고 자민당 비자금 자료를 축적한다.,9,724,724,크렘린에서 푸틴에게 전쟁 이전선 휴전·가스관·횡단철도·한국투자를 제시한다,9,0.217,0.212,0.295,0.155,0.121
DCA-N70,732,735,"732화 30조 엔 대응회의와 미국 환율압박은 정보긴장, 김민재·한 부회장 투트랙은 행동전환이다. 735화 은행지분·야권통로가 지급되고 중동기습이 새 위기를 연다.",7.75,7.25,7.50,732,732,"전액상환 충격을 받은 일본 금융청의 30조 엔 대응회의와 미국의 환율관찰국 지정을 확인하고, 일본의 협상요청에 김민재·한 부회장 투트랙으로 대응한다.",9,733,733,한 부회장·조지가 기시다에게 중앙은행 보증·우대금리·세제·핀테크 개방·자본규제 완화와 총리 사퇴·중의원 해산 약속을 받아낸다.,8,732,732,"전액상환 충격을 받은 일본 금융청의 30조 엔 대응회의와 미국의 환율관찰국 지정을 확인하고, 일본의 협상요청에 김민재·한 부회장 투트랙으로 대응한다.",8,0.215,0.195,0.298,0.112,0.180
DCA-N71,736,739,휴전서명은 조용한 지위보상으로 지나가고 하마스 패러글라이더·드론 대응에 행동·긴장을 몰아준다. 739화 민간인 생존이 Arc의 감정봉우리다.,8.75,8.75,7.75,736,736,기시다 퇴진·중의원 해산 속 하마스 패러글라이더 침공과 러우 휴전 서명을 동시에 대비한다,9,737,737,러우 휴전 체결과 태우 브랜드 상승을 확인한 뒤 일본 은행 30조 엔 폭탄·뱅크런을 공개한다,9,736,736,기시다 퇴진·중의원 해산 속 하마스 패러글라이더 침공과 러우 휴전 서명을 동시에 대비한다,9,0.180,0.262,0.250,0.188,0.120
DCA-N72,740,744,740화 미국 보상은 빠르게 지급하고 741~744화 러시아·일본·중국 설계에 정보체류를 둔다. 천민정의 새 기술보고가 국가질서 뒤 사적 미래를 여는 낮은 훅이다.,6.20,7.80,6.80,740,740,미국대사에게 PMC 비용·미국 기업 동등대우·우크라이나 재건 중심권을 받아 낸 뒤 러시아 전후투자를 서두른다,7,740,740,미국대사에게 PMC 비용·미국 기업 동등대우·우크라이나 재건 중심권을 받아 낸 뒤 러시아 전후투자를 서두른다,8,741,741,러시아에서 로만·푸틴과 공장 무상회수·가스관·횡단철도·북한 장남 지원을 합의한다,7,0.212,0.134,0.334,0.122,0.198
DCA-N73,745,748,745화 조손 대화에 관계·감정체류를 주고 방북·협상은 긴장 있게 압축한다. 748화 우주배터리·플랫폼 지급 뒤 철도 첫 삽과 노벨상으로 결말리듬이 열린다.,5.50,8.00,7.75,745,745,이영한에게 일본·지린 사채망과 북한 장남 세력을 확인한 뒤 김태중이 대북특사를 자청한다,6,747,747,최재석과 남북 정상회담·북한횡단철도 40조 비용을 논의한 뒤 머스크를 맞는다,9,745,745,이영한에게 일본·지린 사채망과 북한 장남 세력을 확인한 뒤 김태중이 대북특사를 자청한다,8,0.202,0.135,0.342,0.140,0.180
DCA-N74,749,751,749화 착공·화학상 뒤 천민정 보호에 오래 머물고 750화 주가·매출·브랜드·후계구도를 지급한다. 751화 기업제국을 크게 연 뒤 초음파와 조손 손잡기로 물질보다 가족감정을 마지막 봉우리로 둔다.,4.67,10.00,6.67,749,749,"북한 횡단철도 착공식에서 첫 삽을 뜬 뒤 천민정이 AI로 코로나 치료제와 희귀질병 치료제를 개발한 공로로 노벨 화학상 수상자가 됐다는 소식을 받는다. 회의실에 숨은 천민정에게 수상 자격과 과거 보호를 보증하고, 다리에 힘이 풀린 그녀의 머리를 양복 상의로 가린 채 안아 들어 조용히 회사 밖으로 빠져나간다.",6,749,749,"북한 횡단철도 착공식에서 첫 삽을 뜬 뒤 천민정이 AI로 코로나 치료제와 희귀질병 치료제를 개발한 공로로 노벨 화학상 수상자가 됐다는 소식을 받는다. 회의실에 숨은 천민정에게 수상 자격과 과거 보호를 보증하고, 다리에 힘이 풀린 그녀의 머리를 양복 상의로 가린 채 안아 들어 조용히 회사 밖으로 빠져나간다.",10,749,749,"북한 횡단철도 착공식에서 첫 삽을 뜬 뒤 천민정이 AI로 코로나 치료제와 희귀질병 치료제를 개발한 공로로 노벨 화학상 수상자가 됐다는 소식을 받는다. 회의실에 숨은 천민정에게 수상 자격과 과거 보호를 보증하고, 다리에 힘이 풀린 그녀의 머리를 양복 상의로 가린 채 안아 들어 조용히 회사 밖으로 빠져나간다.",8,0.143,0.123,0.327,0.290,0.117
